Category;Date inscribed;ID;Image URL;Code ISO;Location;Region;Short Description;Site;States;;;;
Natural;1981;154;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/7e7a9eae5c9d813be598d9dcf833de71;au;Off the east coast of the Queensland mainland;Asia and the Pacific;The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world’s largest collection of coral reefs, with 400 types of coral, 1,500 species of fish and 4,000 types of mollusc. It also holds great scientific interest as the habitat of species such as the dugong (‘sea cow’) and the large green turtle, which are threatened with extinction.;Great Barrier Reef;Australia;;;;
Cultural;2000;1009;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/1368423b2f9bf517e751b0604cabe9f3;be;Province of Hainaut, Wallonia Region;Europe and North America;The Cathedral of Notre-Dame in Tournai was built in the first half of the 12th century. It is especially distinguished by a Romanesque nave of extraordinary dimensions, a wealth of sculpture on its capitals and a transept topped by five towers, all precursors of the Gothic style. The choir, rebuilt in the 13th century, is in the pure Gothic style.;Notre-Dame Cathedral in Tournai;Belgium;;;;
Cultural;1980;124;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/fdb0f21232081849aadf881e7c0e4f32;br;State of Minas Gerais;Latin America and the Caribbean;Founded at the end of the 17th century, Ouro Preto (Black Gold) was the focal point of the gold rush and Brazil’s golden age in the 18th century. With the exhaustion of the gold mines in the 19th century, the city’s influence declined but many churches, bridges and fountains remain as a testimony to its past prosperity and the exceptional talent of the Baroque sculptor Aleijadinho.;Historic Town of Ouro Preto;Brazil;;;;
Cultural;1991;606;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/307b045226dbfe023bf6c26e72f323b4;br;Sud-est de Etat du Piaui – Communes de Sao Raimundo Nonato, Sao Joao do Piaui et Canto do Butriti;Latin America and the Caribbean;Many of the numerous rock shelters in the Serra da Capivara National Park are decorated with cave paintings, some more than 25,000 years old. They are an outstanding testimony to one of the oldest human communities of South America.;Serra da Capivara National Park;Brazil;;;;
Natural;1978;24;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/35d0103ddc0b20fe7ede1682ff2ba0aa;ca;Northwest Territories;Europe and North America;Located along the South Nahanni River, one of the most spectacular wild rivers in North America, this park contains deep canyons and huge waterfalls, as well as a unique limestone cave system. The park is also home to animals of the boreal forest, such as wolves, grizzly bears and caribou. Dall's sheep and mountain goats are found in the park's alpine environment.;Nahanni National Park;Canada;;;;
Cultural;1995;715;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/41fc40b49a739f59b9a3852d53458fa6;cl;Easter Island province of the Valparaíso Region;Latin America and the Caribbean;Rapa Nui, the indigenous name of Easter Island, bears witness to a unique cultural phenomenon. A society of Polynesian origin that settled there c. A.D. 300 established a powerful, imaginative and original tradition of monumental sculpture and architecture, free from any external influence. From the 10th to the 16th century this society built shrines and erected enormous stone figures known as moai , which created an unrivalled cultural landscape that continues to fascinate people throughout the world.;Rapa Nui National Park;Chile;;;;
Cultural;1979;97;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/48dbfa701f2ff544b86aaa9a8ac4d6e5;hr;County of Split-Dalmatia;Europe and North America;The ruins of Diocletian's Palace, built between the late 3rd and the early 4th centuries A.D., can be found throughout the city. The cathedral was built in the Middle Ages, reusing materials from the ancient mausoleum. Twelfth- and 13th-century Romanesque churches, medieval fortifications, 15th-century Gothic palaces and other palaces in Renaissance and Baroque style make up the rest of the protected area.;Historical Complex of Split with the Palace of Diocletian;Croatia;;;;
Natural;2004;1149;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/b5363f9b818a1fbbfa554aa6e5bf508f;dk;West coast of Greenland, Bay of Disko Bugt (bight), Municipality of Ilulissat;Europe and North America;Located on the west coast of Greenland, 250 km north of the Arctic Circle, Greenland’s Ilulissat Icefjord is the sea mouth of Sermeq Kujalleq, one of the few glaciers through which the Greenland ice cap reaches the sea. Sermeq Kujalleq is one of the fastest and most active glaciers in the world. It annually calves over 35 km3 of ice, i.e. 10% of the production of all Greenland calf ice and more than any other glacier outside Antarctica. Studied for over 250 years, it has helped to develop our understanding of climate change and icecap glaciology. The combination of a huge ice-sheet and the dramatic sounds of a fast-moving glacial ice-stream calving into a fjord covered by icebergs makes for a dramatic and awe-inspiring natural phenomenon.;Ilulissat Icefjord;Denmark;;;;
Natural;1983;258;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/f4af192272912e766a475a64c2ceb6e5;fr;Departments of Corse du Sud and Haute Corse, Corsica;Europe and North America;The nature reserve, which is part of the Regional Natural Park of Corsica, occupies the Scandola peninsula, an impressive, porphyritic rock mass. The vegetation is an outstanding example of scrubland. Seagulls, cormorants and sea eagles can be found there. The clear waters, with their islets and inaccessible caves, host a rich marine life.;Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve;France;;;;
Cultural;1981;165;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/441de27bd007ff79820095fd238b94d7;fr;Department of Côte d'Or, Burgundy Region;Europe and North America;This stark Burgundian monastery was founded by St Bernard in 1119. With its church, cloister, refectory, sleeping quarters, bakery and ironworks, it is an excellent illustration of the ideal of self-sufficiency as practised by the earliest communities of Cistercian monks.;Cistercian Abbey of Fontenay;France;;;;
